Date,Truworth,TFG
2008/04/07,2831,4060
2008/04/08,2800,4060
2008/04/09,2836,4060
2008/04/10,2679,3899
2008/04/11,2638,3860
2008/04/14,2610,3730
2008/04/15,2642,3670
2008/04/16,2725,3690
2008/04/17,2730,3653
2008/04/18,2710,3656
2008/04/21,2698,3690
2008/04/22,2670,3662
2008/04/23,2685,3631
2008/04/24,2650,3580
2008/04/25,2601,3600
2008/04/29,2640,3583
2008/04/30,2560,3605
2008/05/05,2650,3681
2008/05/06,2699,3725
2008/05/07,2650,3665
2008/05/08,2590,3626
2008/05/09,2593,3581
2008/05/12,2556,3565
2008/05/13,2579,3550
2008/05/14,2581,3625
2008/05/15,2560,3600
2008/05/16,2610,3600
2008/05/19,2660,3700
2008/05/20,2615,3718
2008/05/21,2550,3645
2008/05/22,2545,3562
2008/05/23,2500,3562
2008/05/26,2480,3545
2008/05/27,2390,3550
2008/05/28,2431,3590
2008/05/29,2310,3382
2008/05/30,2291,3399
2008/06/02,2340,3270
2008/06/03,2350,3220
2008/06/04,2330,3132
2008/06/05,2418,3275
2008/06/06,2446,3300
2008/06/09,2265,3275
2008/06/10,2219,3175
2008/06/11,2258,3131
2008/06/12,2250,3171
2008/06/13,2266,3125
2008/06/17,2200,3125
2008/06/18,2263,3130
2008/06/19,2235,3100
2008/06/20,2162,3079
2008/06/23,2150,3000
2008/06/24,2140,2901
2008/06/25,2100,2900
2008/06/26,2105,2948
2008/06/27,2190,2920
2008/06/30,2295,2955
2008/07/01,2270,2968
2008/07/02,2290,3050
2008/07/03,2230,2950
2008/07/04,2220,2980
2008/07/07,2212,2760
2008/07/08,2240,2715
2008/07/09,2243,2850
2008/07/10,2270,2930
2008/07/11,2246,2870
2008/07/14,2240,2900
2008/07/15,2245,2875
2008/07/16,2341,3080
2008/07/17,2575,3270
2008/07/18,2600,3450
2008/07/21,2526,3252
2008/07/22,2620,3382
2008/07/23,2790,3530
2008/07/24,2840,3549
2008/07/25,2780,3476
2008/07/28,2756,3500
2008/07/29,2810,3550
2008/07/30,2900,3681
2008/07/31,2907,3695
2008/08/01,2745,3525
2008/08/04,2773,3580
2008/08/05,2755,3500
2008/08/06,2750,3602
2008/08/07,2871,3665
2008/08/08,2950,3756
2008/08/11,3161,3955
2008/08/12,3215,4185
2008/08/13,3035,4080
2008/08/14,3100,4149
2008/08/15,3175,4210
2008/08/18,3115,4170
2008/08/19,3065,4141
2008/08/20,2949,3980
2008/08/21,2974,4000
2008/08/22,2956,3970
2008/08/25,2980,4020
