Date,Impla Plat,Anglo Plat
2007/09/07,20900,96700
2007/09/10,20960,98300
2007/09/11,21600,99500
2007/09/12,21599,102000
2007/09/13,21650,102500
2007/09/14,21600,99450
2007/09/17,20800,98130
2007/09/18,21020,97900
2007/09/19,22431,101000
2007/09/20,22600,102550
2007/09/21,23250,105200
2007/09/25,24300,104000
2007/09/26,24300,107000
2007/09/27,24215,105800
2007/09/28,24000,104260
2007/10/01,24050,109100
2007/10/02,24340,109200
2007/10/03,25525,112990
2007/10/04,26175,118000
2007/10/05,25590,115700
2007/10/08,24300,112000
2007/10/09,25000,111700
2007/10/10,24900,113000
2007/10/11,25980,113600
2007/10/12,25800,113000
2007/10/15,24825,113050
2007/10/16,24000,112900
2007/10/17,24050,112700
2007/10/18,24400,114900
2007/10/19,23693,110200
2007/10/22,22600,104500
2007/10/23,23300,104851
2007/10/24,22500,100100
2007/10/25,22650,105000
2007/10/26,23200,105900
2007/10/29,23800,107400
2007/10/30,24500,107650
2007/10/31,24400,111500
2007/11/01,23301,106941
2007/11/02,23285,106000
2007/11/05,23400,103999
2007/11/06,24100,105800
2007/11/07,25001,106400
2007/11/08,26000,107000
2007/11/09,24900,103980
2007/11/12,23800,100401
2007/11/13,23250,99600
2007/11/14,24250,103000
2007/11/15,24000,100798
2007/11/16,23400,94100
2007/11/19,22125,94000
2007/11/20,22100,95500
2007/11/21,21521,92200
2007/11/22,22399,93500
2007/11/23,22850,94000
2007/11/26,22800,91100
2007/11/27,22950,94400
2007/11/28,23200,92999
2007/11/29,23250,95000
2007/11/30,23686,97100
2007/12/03,24300,101200
2007/12/04,23800,100700
2007/12/05,24230,100000
2007/12/06,23500,100200
2007/12/07,24305,104950
2007/12/10,24700,101000
2007/12/11,24900,99800
2007/12/12,24450,99000
2007/12/13,23000,95500
2007/12/14,22005,93500
2007/12/18,22451,93500
2007/12/19,21700,94000
2007/12/20,22550,99000
2007/12/21,23900,105000
2007/12/24,24210,105000
2007/12/27,25000,108500
2007/12/28,25000,106600
2007/12/31,23725,101005
2008/01/02,24240,104100
2008/01/03,24910,104400
2008/01/04,24900,102000
2008/01/07,24300,99805
2008/01/08,24300,106300
2008/01/09,24600,110400
2008/01/10,24000,109800
2008/01/11,24200,110300
2008/01/14,26105,117500
2008/01/15,26501,118000
2008/01/16,25000,110200
2008/01/17,25201,109800
2008/01/18,25500,105500
2008/01/21,23920,101100
2008/01/22,23550,99000
2008/01/23,22599,91900
2008/01/24,24800,97000
2008/01/25,24720,100700
2008/01/28,23805,98000
2008/01/29,25700,101950
2008/01/30,26500,102770
2008/01/31,27800,106500
2008/02/01,29250,115000
2008/02/04,28500,116000
2008/02/05,26500,107000
2008/02/06,27200,111100
2008/02/07,28850,113001
2008/02/08,29500,112899
2008/02/11,28400,114800
2008/02/12,30000,124500
2008/02/13,29900,118202
2008/02/14,30875,119000
2008/02/15,31100,113400
2008/02/18,31000,117900
2008/02/19,31200,120000
2008/02/20,31505,123500
2008/02/21,33700,130600
2008/02/22,32025,127015
2008/02/25,32490,125100
2008/02/26,30650,121800
2008/02/27,31100,123400
2008/02/28,31000,120001
2008/02/29,32806,124000
2008/03/03,34377,130000
2008/03/04,36800,137401
2008/03/05,35000,128500
2008/03/06,33500,126500
2008/03/07,32965,124900
2008/03/10,31300,123300
2008/03/11,31890,125000
2008/03/12,33450,125000
2008/03/13,32422,123775
2008/03/14,33000,126580
2008/03/17,32250,121990
2008/03/18,33500,124800
2008/03/19,31000,124000
2008/03/20,28050,118000
2008/03/25,28400,113800
2008/03/26,30780,120500
2008/03/27,31895,122500
2008/03/28,31950,120000
2008/03/31,31300,119000
2008/04/01,31050,118900
2008/04/02,32265,120000
2008/04/03,33500,118500
2008/04/04,32550,119500
2008/04/07,31900,123500
2008/04/08,32199,127200
2008/04/09,32500,130000
2008/04/10,33000,128500
2008/04/11,33800,133499
2008/04/14,32100,130300
2008/04/15,33350,133800
2008/04/16,33600,135000
2008/04/17,32949,135000
2008/04/18,33300,135000
2008/04/21,33800,134000
2008/04/22,32650,131600
2008/04/23,32150,130500
2008/04/24,31800,128000
2008/04/25,30900,125500
2008/04/29,31051,122503
2008/04/30,30800,121250
2008/05/05,31700,124500
2008/05/06,33000,125500
2008/05/07,33000,126500
2008/05/08,34000,126500
2008/05/09,34400,127500
2008/05/12,34250,127300
2008/05/13,33200,125000
2008/05/14,33100,131100
2008/05/15,33798,134300
2008/05/16,34560,140601
2008/05/19,35800,146000
2008/05/20,35442,143000
2008/05/21,35600,142455
2008/05/22,35400,141001
2008/05/23,34800,139000
2008/05/26,35700,141900
2008/05/27,34500,141800
2008/05/28,33845,137500
2008/05/29,33010,134000
