Date,PPC,WHBO
2007/08/31,4525,10200
2007/09/03,4560,10289
2007/09/04,4530,10250
2007/09/05,4560,10225
2007/09/06,4601,10410
2007/09/07,4599,10855
2007/09/10,4530,10900
2007/09/11,4700,11150
2007/09/12,4700,11530
2007/09/13,4651,11890
2007/09/14,4600,11820
2007/09/17,4528,11810
2007/09/18,4500,11800
2007/09/19,4605,11820
2007/09/20,4565,11860
2007/09/21,4490,11860
2007/09/25,4646,11767
2007/09/26,4840,11600
2007/09/27,4840,11650
2007/09/28,4780,11900
2007/10/01,4535,12120
2007/10/02,4650,12245
2007/10/03,4715,12250
2007/10/04,4796,12600
2007/10/05,4700,12850
2007/10/08,4630,12908
2007/10/09,4552,12905
2007/10/10,4580,12471
2007/10/11,4480,12800
2007/10/12,4400,12495
2007/10/15,4399,12500
2007/10/16,4450,12470
2007/10/17,4400,12410
2007/10/18,4428,12500
2007/10/19,4415,12688
2007/10/22,4460,12520
2007/10/23,4540,12509
2007/10/24,4500,12500
2007/10/25,4579,12615
2007/10/26,4600,13050
2007/10/29,4725,13149
2007/10/30,4790,13101
2007/10/31,4730,13101
2007/11/01,4800,13250
2007/11/02,4900,13265
2007/11/05,4700,13550
2007/11/06,4890,13867
2007/11/07,4877,13800
2007/11/08,4727,13700
2007/11/09,4740,13575
2007/11/12,4741,13550
2007/11/13,4735,13085
2007/11/14,4965,13490
2007/11/15,5000,12999
2007/11/16,4880,13000
2007/11/19,4616,12890
2007/11/20,4780,12999
2007/11/21,4689,13075
2007/11/22,4750,12904
2007/11/23,4786,12850
2007/11/26,4750,12700
2007/11/27,4670,12562
2007/11/28,4620,12501
2007/11/29,4700,12550
2007/11/30,4530,12550
2007/12/03,4770,12550
2007/12/04,4700,12800
2007/12/05,4750,13050
2007/12/06,4820,13250
2007/12/07,4881,13334
2007/12/10,4713,13816
2007/12/11,4762,13500
2007/12/12,4700,13400
2007/12/13,4650,12955
2007/12/14,4600,13140
2007/12/18,4620,12800
2007/12/19,4500,12600
2007/12/20,4600,13000
2007/12/21,4600,13000
2007/12/24,4720,13000
2007/12/27,4790,13151
2007/12/28,4529,13800
2007/12/31,4372,13802
2008/01/02,4550,13546
2008/01/03,4390,13600
2008/01/04,4420,13595
2008/01/07,4350,13000
2008/01/08,4371,12850
2008/01/09,4289,12900
2008/01/10,4210,12750
2008/01/11,4160,12135
2008/01/14,4199,11900
2008/01/15,4101,11513
2008/01/16,4000,11015
2008/01/17,4200,11415
2008/01/18,4058,11440
2008/01/21,3950,11200
2008/01/22,3940,11307
2008/01/23,3900,11400
2008/01/24,4118,11450
2008/01/25,3988,11398
2008/01/28,3710,11256
2008/01/29,3723,11400
2008/01/30,3750,12000
2008/01/31,3750,12100
2008/02/01,4000,12346
2008/02/04,3833,13000
2008/02/05,3699,12065
2008/02/06,3880,12206
2008/02/07,3770,12302
2008/02/08,3761,12560
2008/02/11,3650,12710
2008/02/12,3750,12800
2008/02/13,3800,12805
2008/02/14,3820,12953
2008/02/15,3916,13086
2008/02/18,4180,13700
2008/02/19,4160,13850
2008/02/20,4060,13500
2008/02/21,4025,13534
2008/02/22,4170,12600
2008/02/25,4160,13200
2008/02/26,4380,13300
2008/02/27,4275,13450
2008/02/28,4201,13551
2008/02/29,4280,13975
2008/03/03,4100,13470
2008/03/04,3955,13200
2008/03/05,3980,12989
2008/03/06,4000,13100
2008/03/07,3860,12900
2008/03/10,3810,13101
2008/03/11,3930,13993
2008/03/12,4001,14000
2008/03/13,4000,14098
2008/03/14,3951,13775
2008/03/17,3831,13100
2008/03/18,4050,13200
2008/03/19,3990,13410
2008/03/20,3900,13200
2008/03/25,4249,13305
2008/03/26,4250,13500
2008/03/27,4150,13536
2008/03/28,4120,13525
2008/03/31,4005,13100
2008/04/01,4220,13100
2008/04/02,4411,13201
2008/04/03,4299,13550
2008/04/04,4120,13420
2008/04/07,4180,13600
2008/04/08,4179,13750
2008/04/09,4130,13610
2008/04/10,4000,13434
2008/04/11,3900,13200
2008/04/14,3820,13200
2008/04/15,3800,13400
2008/04/16,3825,13100
2008/04/17,3870,12660
2008/04/18,3931,13000
2008/04/21,3884,13000
2008/04/22,3860,12900
2008/04/23,3859,12900
2008/04/24,3825,12800
2008/04/25,3790,12920
2008/04/29,3950,12700
2008/04/30,4000,12700
2008/05/05,4000,12549
2008/05/06,3895,12329
2008/05/07,3850,12992
2008/05/08,3826,12500
2008/05/09,3819,12100
2008/05/12,3800,11700
2008/05/13,3755,11920
2008/05/14,3749,12301
2008/05/15,3760,12452
2008/05/16,3760,12452
2008/05/19,3780,12900
2008/05/20,3750,13000
2008/05/21,3805,12701
2008/05/22,3790,12500
2008/05/23,3730,12419
2008/05/26,3615,12450
2008/05/27,3574,12898
2008/05/28,3600,12472
2008/05/29,3549,12250
2008/05/30,3545,12100
2008/06/02,3460,11980
2008/06/03,3370,11800
2008/06/04,3344,11700
2008/06/05,3475,11700
2008/06/06,3445,11800
2008/06/09,3350,11715
2008/06/10,3175,11800
2008/06/11,3150,11801
2008/06/12,3270,11985
2008/06/13,3200,11803
2008/06/17,3099,11775
2008/06/18,3101,11500
2008/06/19,3225,11320
2008/06/20,3270,11700
2008/06/23,3136,11450
2008/06/24,3010,11200
2008/06/25,3040,11200
2008/06/26,3007,11050
2008/06/27,2950,11000
2008/06/30,2869,11050
2008/07/01,2780,11200
2008/07/02,2820,11050
2008/07/03,2738,10855
2008/07/04,2711,10500
2008/07/07,2690,10550
2008/07/08,2679,10150
2008/07/09,2730,10300
2008/07/10,2738,10200
2008/07/11,2755,10260
2008/07/14,2725,10000
