Date,MMI,OldMutual
2008/02/11,1250,1775
2008/02/12,1275,1825
2008/02/13,1300,1867
2008/02/14,1310,1850
2008/02/15,1300,1808
2008/02/18,1300,1880
2008/02/19,1320,1934
2008/02/20,1299,1900
2008/02/21,1300,1950
2008/02/22,1300,1930
2008/02/25,1300,1950
2008/02/26,1365,2015
2008/02/27,1380,1925
2008/02/28,1390,1911
2008/02/29,1440,1949
2008/03/03,1380,1911
2008/03/04,1281,1825
2008/03/05,1295,1853
2008/03/06,1304,1841
2008/03/07,1295,1806
2008/03/10,1300,1770
2008/03/11,1317,1778
2008/03/12,1365,1821
2008/03/13,1330,1790
2008/03/14,1310,1770
2008/03/17,1296,1709
2008/03/18,1300,1725
2008/03/19,1285,1701
2008/03/20,1305,1720
2008/03/25,1379,1810
2008/03/26,1420,1815
2008/03/27,1415,1848
2008/03/28,1410,1844
2008/03/31,1340,1767
2008/04/01,1329,1843
2008/04/02,1380,1910
2008/04/03,1375,1871
2008/04/04,1410,1931
2008/04/07,1447,1957
2008/04/08,1405,1935
2008/04/09,1375,1883
2008/04/10,1345,1856
2008/04/11,1330,1819
2008/04/14,1327,1819
2008/04/15,1304,1820
2008/04/16,1339,1859
2008/04/17,1345,1875
2008/04/18,1380,1945
2008/04/21,1400,1905
2008/04/22,1399,1884
2008/04/23,1370,1880
2008/04/24,1340,1890
2008/04/25,1340,1924
2008/04/29,1340,1859
2008/04/30,1320,1936
2008/05/05,1327,1897
2008/05/06,1310,1890
2008/05/07,1337,1874
2008/05/08,1318,1863
2008/05/09,1300,1822
2008/05/12,1311,1800
2008/05/13,1327,1758
2008/05/14,1336,1781
2008/05/15,1319,1805
2008/05/16,1320,1785
2008/05/19,1335,1797
2008/05/20,1320,1780
2008/05/21,1287,1697
2008/05/22,1299,1710
2008/05/23,1280,1712
2008/05/26,1272,1730
2008/05/27,1272,1724
2008/05/28,1281,1710
2008/05/29,1260,1730
2008/05/30,1235,1775
2008/06/02,1220,1737
2008/06/03,1225,1764
2008/06/04,1269,1775
2008/06/05,1240,1803
2008/06/06,1239,1738
2008/06/09,1233,1728
2008/06/10,1190,1716
2008/06/11,1195,1709
2008/06/12,1195,1756
2008/06/13,1170,1736
2008/06/17,1160,1718
2008/06/18,1125,1687
2008/06/19,1161,1654
2008/06/20,1159,1649
2008/06/23,1116,1581
2008/06/24,1098,1560
2008/06/25,1091,1506
2008/06/26,1140,1456
2008/06/27,1120,1444
2008/06/30,1093,1438
2008/07/01,1055,1417
2008/07/02,1065,1423
2008/07/03,1067,1423
2008/07/04,1060,1359
2008/07/07,1035,1381
2008/07/08,1013,1350
2008/07/09,1035,1383
2008/07/10,1020,1374
2008/07/11,1049,1344
2008/07/14,1020,1353
2008/07/15,1023,1314
2008/07/16,1088,1342
2008/07/17,1165,1452
2008/07/18,1200,1510
2008/07/21,1155,1520
2008/07/22,1130,1407
2008/07/23,1180,1554
2008/07/24,1160,1539
2008/07/25,1190,1497
2008/07/28,1169,1430
2008/07/29,1168,1405
2008/07/30,1181,1454
2008/07/31,1150,1425
2008/08/01,1185,1406
2008/08/04,1205,1404
2008/08/05,1210,1537
2008/08/06,1230,1377
2008/08/07,1230,1390
2008/08/08,1210,1423
2008/08/11,1260,1488
2008/08/12,1270,1478
2008/08/13,1260,1425
2008/08/14,1240,1427
2008/08/15,1255,1409
2008/08/18,1236,1391
2008/08/19,1210,1335
2008/08/20,1211,1384
2008/08/21,1192,1355
2008/08/22,1230,1399
2008/08/25,1233,1356
2008/08/26,1230,1367
2008/08/27,1210,1380
2008/08/28,1240,1414
2008/08/29,1280,1361
2008/09/01,1235,1377
2008/09/02,1211,1410
2008/09/03,1235,1390
2008/09/04,1255,1364
2008/09/05,1298,1345
2008/09/08,1305,1408
