Date,Group5,WHBO
2007/10/17,6290,12410
2007/10/18,6420,12500
2007/10/19,6451,12688
2007/10/22,6403,12520
2007/10/23,6600,12509
2007/10/24,6635,12500
2007/10/25,6855,12615
2007/10/26,6900,13050
2007/10/29,6830,13149
2007/10/30,6600,13101
2007/10/31,6450,13101
2007/11/01,6330,13250
2007/11/02,6350,13265
2007/11/05,6320,13550
2007/11/06,6520,13867
2007/11/07,6560,13800
2007/11/08,6475,13700
2007/11/09,6365,13575
2007/11/12,6180,13550
2007/11/13,6070,13085
2007/11/14,6325,13490
2007/11/15,6200,12999
2007/11/16,6240,13000
2007/11/19,6000,12890
2007/11/20,5895,12999
2007/11/21,5950,13075
2007/11/22,6050,12904
2007/11/23,5999,12850
2007/11/26,5850,12700
2007/11/27,5656,12562
2007/11/28,5650,12501
2007/11/29,5679,12550
2007/11/30,5650,12550
2007/12/03,5650,12550
2007/12/04,5790,12800
2007/12/05,5820,13050
2007/12/06,5800,13250
2007/12/07,5780,13334
2007/12/10,5740,13816
2007/12/11,5700,13500
2007/12/12,5750,13400
2007/12/13,5725,12955
2007/12/14,5690,13140
2007/12/18,5400,12800
2007/12/19,5190,12600
2007/12/20,5400,13000
2007/12/21,5500,13000
2007/12/24,5650,13000
2007/12/27,5650,13151
2007/12/28,5500,13800
2007/12/31,5500,13802
2008/01/02,5550,13546
2008/01/03,5480,13600
2008/01/04,5450,13595
2008/01/07,5316,13000
2008/01/08,5450,12850
2008/01/09,5300,12900
2008/01/10,5310,12750
2008/01/11,5101,12135
2008/01/14,4990,11900
2008/01/15,4959,11513
2008/01/16,4800,11015
2008/01/17,4925,11415
2008/01/18,4840,11440
2008/01/21,4700,11200
2008/01/22,4799,11307
2008/01/23,4700,11400
2008/01/24,4848,11450
2008/01/25,4752,11398
2008/01/28,4520,11256
2008/01/29,4505,11400
2008/01/30,4450,12000
2008/01/31,4549,12100
2008/02/01,4600,12346
2008/02/04,4600,13000
2008/02/05,4463,12065
2008/02/06,4601,12206
2008/02/07,4600,12302
2008/02/08,4558,12560
2008/02/11,4469,12710
2008/02/12,4500,12800
2008/02/13,4350,12805
2008/02/14,4500,12953
2008/02/15,4750,13086
2008/02/18,4930,13700
2008/02/19,5125,13850
2008/02/20,5150,13500
2008/02/21,5225,13534
2008/02/22,5150,12600
2008/02/25,5170,13200
2008/02/26,5237,13300
2008/02/27,5230,13450
2008/02/28,5435,13551
2008/02/29,5400,13975
2008/03/03,5390,13470
2008/03/04,5303,13200
2008/03/05,5150,12989
2008/03/06,5080,13100
2008/03/07,5000,12900
2008/03/10,4995,13101
2008/03/11,5106,13993
2008/03/12,5280,14000
2008/03/13,5230,14098
2008/03/14,5231,13775
2008/03/17,4899,13100
2008/03/18,5100,13200
2008/03/19,5250,13410
2008/03/20,5107,13200
2008/03/25,5100,13305
2008/03/26,5150,13500
