Date,Brait,SASFIN
2012/11/15,3572,3400
2012/11/16,3558,3450
2012/11/19,3544,3450
2012/11/21,3523,3300
2012/11/22,3530,3300
2012/11/23,3518,3375
2012/11/24,3518,3375
2012/11/25,3518,3375
2012/11/26,3570,3300
2012/11/27,3560,3300
2012/11/28,3550,3300
2012/11/29,3590,3350
2012/11/30,3530,3350
2012/12/03,3530,3350
2012/12/04,3585,3370
2012/12/05,3585,3375
2012/12/06,3664,3370
2012/12/07,3600,3400
2012/12/10,3611,3400
2012/12/11,3600,3400
2012/12/12,3620,3360
2012/12/13,3640,3250
2012/12/14,3700,3360
2012/12/18,3707,3360
2012/12/19,3813,3360
2012/12/20,3760,3300
2012/12/21,3684,3360
2012/12/24,3700,3360
2012/12/27,3722,3360
2012/12/28,3693,3399
2012/12/31,3674,3399
2013/01/02,3702,3400
2013/01/03,3700,3400
2013/01/04,3735,3400
2013/01/07,3790,3360
2013/01/08,3775,3360
2013/01/09,3844,3360
2013/01/10,3769,3300
2013/01/11,3800,3400
2013/01/14,3785,3360
2013/01/15,3620,3380
2013/01/16,3550,3380
2013/01/17,3548,3380
2013/01/18,3495,3360
2013/01/21,3469,3380
2013/01/22,3459,3400
2013/01/23,3408,3360
2013/01/24,3460,3400
2013/01/25,3393,3460
2013/01/28,3350,3630
2013/01/29,3183,3795
2013/01/30,3200,3700
2013/01/31,3200,3700
2013/02/01,3269,3702
2013/02/04,3215,3750
2013/02/05,3287,3700
2013/02/06,3320,3700
2013/02/07,3382,3700
2013/02/08,3424,3700
2013/02/11,3400,3700
2013/02/12,3350,3700
2013/02/13,3286,3700
2013/02/14,3280,3700
2013/02/15,3275,3700
2013/02/18,3270,3700
2013/02/19,3245,3500
2013/02/20,3250,3500
2013/02/21,3311,3400
2013/02/22,3328,3370
2013/02/25,3360,3340
2013/02/26,3295,3305
2013/02/27,3269,3305
2013/02/28,3236,3305
2013/03/01,3280,3300
2013/03/04,3271,3285
2013/03/05,3300,3285
2013/03/06,3335,3400
2013/03/07,3340,3500
2013/03/08,3377,3650
2013/03/11,3450,4000
2013/03/12,3350,3900
2013/03/13,3390,4005
2013/03/14,3383,3850
2013/03/15,3477,3850
2013/03/18,3430,3850
2013/03/19,3387,3650
2013/03/20,3415,3650
2013/03/22,3396,3650
2013/03/25,3492,3900
2013/03/26,3500,3900
2013/03/27,3500,4005
2013/03/28,3480,4005
2013/04/02,3575,3999
2013/04/03,3577,4000
2013/04/04,3583,3900
2013/04/05,3435,3850
2013/04/08,3540,3850
2013/04/09,3558,3900
2013/04/10,3620,3900
2013/04/11,3678,3900
2013/04/12,3617,3900
2013/04/15,3512,3850
2013/04/16,3564,3850
2013/04/17,3542,3850
2013/04/18,3500,3850
2013/04/19,3522,3800
2013/04/22,3525,3900
2013/04/23,3570,3900
2013/04/24,3666,3850
2013/04/25,3735,3800
2013/04/26,3700,3800
2013/04/29,3700,3800
2013/04/30,3666,3800
2013/05/02,3680,3600
2013/05/03,3691,3750
2013/05/06,3663,3550
2013/05/07,3699,3600
2013/05/08,3724,3700
2013/05/09,3775,3650
2013/05/10,3792,3690
2013/05/13,3800,3690
2013/05/14,3839,3688
2013/05/15,3879,3688
2013/05/16,3855,3645
2013/05/17,3800,3640
2013/05/20,3700,3640
2013/05/21,3791,3640
2013/05/22,3765,3639
2013/05/23,3657,3650
2013/05/24,3714,3615
2013/05/27,3760,3640
2013/05/28,3750,3640
2013/05/29,3700,3586
2013/05/30,3641,3560
2013/05/31,3499,3560
2013/06/03,3600,3500
2013/06/04,3680,3500
2013/06/05,3800,3400
2013/06/06,3848,3400
2013/06/07,3990,3400
2013/06/10,4060,3400
2013/06/11,3830,3350
2013/06/12,3850,3390
2013/06/13,3868,3400
2013/06/14,3930,3400
2013/06/18,4030,3400
2013/06/19,3995,3400
2013/06/20,3935,3400
2013/06/21,3920,3400
2013/06/24,3930,3300
2013/06/25,3900,3380
2013/06/26,3900,3350
2013/06/27,3950,3340
2013/06/28,4140,3340
