Date,Discovery,Sanlam
2007/12/13,2749,2300
2007/12/14,2651,2259
2007/12/18,2615,2235
2007/12/19,2670,2219
2007/12/20,2640,2320
2007/12/21,2715,2320
2007/12/24,2725,2320
2007/12/27,2725,2335
2007/12/28,2715,2350
2007/12/31,2713,2275
2008/01/02,2730,2281
2008/01/03,2700,2250
2008/01/04,2690,2270
2008/01/07,2635,2255
2008/01/08,2645,2272
2008/01/09,2640,2185
2008/01/10,2560,2092
2008/01/11,2560,2020
2008/01/14,2630,2100
2008/01/15,2530,2051
2008/01/16,2451,2001
2008/01/17,2400,2040
2008/01/18,2395,1969
2008/01/21,2360,1860
2008/01/22,2410,1870
2008/01/23,2360,1945
2008/01/24,2367,1950
2008/01/25,2400,1900
2008/01/28,2336,1840
2008/01/29,2352,1850
2008/01/30,2390,1967
2008/01/31,2380,1944
2008/02/01,2384,2065
2008/02/04,2470,1992
2008/02/05,2339,1878
2008/02/06,2300,1949
2008/02/07,2250,1880
2008/02/08,2276,1915
2008/02/11,2210,1850
2008/02/12,2210,1875
2008/02/13,2199,1905
2008/02/14,2278,1895
2008/02/15,2301,1865
2008/02/18,2440,1890
2008/02/19,2450,1900
2008/02/20,2360,1845
2008/02/21,2360,1900
2008/02/22,2323,1870
2008/02/25,2390,1895
2008/02/26,2575,1937
2008/02/27,2620,1930
2008/02/28,2700,1859
2008/02/29,2740,1875
2008/03/03,2755,1850
2008/03/04,2690,1836
2008/03/05,2620,1800
2008/03/06,2520,1880
2008/03/07,2400,1850
2008/03/10,2375,1883
2008/03/11,2365,2005
2008/03/12,2429,2067
2008/03/13,2405,1980
2008/03/14,2400,1990
2008/03/17,2300,1959
2008/03/18,2400,1990
2008/03/19,2390,2035
2008/03/20,2300,1900
2008/03/25,2395,1926
2008/03/26,2454,1982
2008/03/27,2460,2039
2008/03/28,2450,1995
2008/03/31,2430,1910
2008/04/01,2460,1979
2008/04/02,2520,2050
2008/04/03,2506,2015
2008/04/04,2590,2060
2008/04/07,2685,2133
2008/04/08,2650,2137
2008/04/09,2608,2131
2008/04/10,2520,2105
2008/04/11,2470,2130
2008/04/14,2499,2090
2008/04/15,2495,2121
2008/04/16,2520,2125
2008/04/17,2529,2120
2008/04/18,2500,2175
2008/04/21,2500,2060
2008/04/22,2481,2025
2008/04/23,2490,1999
2008/04/24,2501,1990
2008/04/25,2485,1996
2008/04/29,2480,2006
2008/04/30,2485,2000
2008/05/05,2450,1999
2008/05/06,2405,1980
2008/05/07,2390,1960
2008/05/08,2355,2000
2008/05/09,2365,2000
2008/05/12,2340,2010
2008/05/13,2300,2006
2008/05/14,2310,2003
2008/05/15,2380,2000
2008/05/16,2417,1963
2008/05/19,2351,1962
2008/05/20,2440,1960
2008/05/21,2420,1976
2008/05/22,2400,1981
2008/05/23,2405,1965
2008/05/26,2420,1945
2008/05/27,2450,1953
2008/05/28,2400,1980
2008/05/29,2390,1931
2008/05/30,2400,1930
2008/06/02,2444,1930
2008/06/03,2420,1930
2008/06/04,2400,1921
2008/06/05,2395,1949
2008/06/06,2385,1910
2008/06/09,2370,1890
2008/06/10,2365,1858
2008/06/11,2381,1795
2008/06/12,2360,1829
2008/06/13,2355,1797
2008/06/17,2305,1775
2008/06/18,2302,1740
2008/06/19,2296,1727
2008/06/20,2300,1730
2008/06/23,2169,1681
2008/06/24,2060,1645
2008/06/25,2070,1670
2008/06/26,2130,1670
2008/06/27,2190,1695
2008/06/30,2170,1660
2008/07/01,2048,1585
2008/07/02,2020,1590
2008/07/03,1955,1542
2008/07/04,1980,1554
2008/07/07,1940,1522
2008/07/08,1847,1520
2008/07/09,1870,1500
2008/07/10,1880,1525
2008/07/11,1814,1535
2008/07/14,1835,1503
2008/07/15,1825,1505
2008/07/16,1906,1531
2008/07/17,1985,1724
2008/07/18,2000,1752
2008/07/21,2060,1659
2008/07/22,2020,1640
2008/07/23,2000,1779
2008/07/24,2051,1745
2008/07/25,2025,1680
2008/07/28,2015,1640
2008/07/29,2025,1684
2008/07/30,2025,1750
2008/07/31,2160,1760
2008/08/01,2125,1755
2008/08/04,2125,1740
2008/08/05,2100,1803
2008/08/06,2135,1785
2008/08/07,2140,1751
2008/08/08,2150,1760
2008/08/11,2190,1784
2008/08/12,2250,1810
2008/08/13,2297,1782
2008/08/14,2227,1820
2008/08/15,2170,1825
2008/08/18,2130,1789
2008/08/19,2080,1743
2008/08/20,2090,1780
2008/08/21,2110,1787
2008/08/22,2150,1805
2008/08/25,2150,1780
2008/08/26,2170,1752
2008/08/27,2180,1732
2008/08/28,2280,1840
2008/08/29,2220,1776
