Date,Discovery,MMI
2008/03/27,2460,1415
2008/03/28,2450,1410
2008/03/31,2430,1340
2008/04/01,2460,1329
2008/04/02,2520,1380
2008/04/03,2506,1375
2008/04/04,2590,1410
2008/04/07,2685,1447
2008/04/08,2650,1405
2008/04/09,2608,1375
2008/04/10,2520,1345
2008/04/11,2470,1330
2008/04/14,2499,1327
2008/04/15,2495,1304
2008/04/16,2520,1339
2008/04/17,2529,1345
2008/04/18,2500,1380
2008/04/21,2500,1400
2008/04/22,2481,1399
2008/04/23,2490,1370
2008/04/24,2501,1340
2008/04/25,2485,1340
2008/04/29,2480,1340
2008/04/30,2485,1320
2008/05/05,2450,1327
2008/05/06,2405,1310
2008/05/07,2390,1337
2008/05/08,2355,1318
2008/05/09,2365,1300
2008/05/12,2340,1311
2008/05/13,2300,1327
2008/05/14,2310,1336
2008/05/15,2380,1319
2008/05/16,2417,1320
2008/05/19,2351,1335
2008/05/20,2440,1320
2008/05/21,2420,1287
2008/05/22,2400,1299
2008/05/23,2405,1280
2008/05/26,2420,1272
2008/05/27,2450,1272
2008/05/28,2400,1281
2008/05/29,2390,1260
2008/05/30,2400,1235
2008/06/02,2444,1220
2008/06/03,2420,1225
2008/06/04,2400,1269
2008/06/05,2395,1240
2008/06/06,2385,1239
2008/06/09,2370,1233
2008/06/10,2365,1190
2008/06/11,2381,1195
2008/06/12,2360,1195
2008/06/13,2355,1170
2008/06/17,2305,1160
2008/06/18,2302,1125
2008/06/19,2296,1161
2008/06/20,2300,1159
2008/06/23,2169,1116
2008/06/24,2060,1098
2008/06/25,2070,1091
2008/06/26,2130,1140
2008/06/27,2190,1120
2008/06/30,2170,1093
2008/07/01,2048,1055
2008/07/02,2020,1065
2008/07/03,1955,1067
2008/07/04,1980,1060
2008/07/07,1940,1035
2008/07/08,1847,1013
2008/07/09,1870,1035
2008/07/10,1880,1020
2008/07/11,1814,1049
2008/07/14,1835,1020
2008/07/15,1825,1023
2008/07/16,1906,1088
2008/07/17,1985,1165
2008/07/18,2000,1200
2008/07/21,2060,1155
2008/07/22,2020,1130
2008/07/23,2000,1180
2008/07/24,2051,1160
2008/07/25,2025,1190
2008/07/28,2015,1169
2008/07/29,2025,1168
2008/07/30,2025,1181
2008/07/31,2160,1150
2008/08/01,2125,1185
2008/08/04,2125,1205
2008/08/05,2100,1210
2008/08/06,2135,1230
2008/08/07,2140,1230
2008/08/08,2150,1210
2008/08/11,2190,1260
2008/08/12,2250,1270
2008/08/13,2297,1260
2008/08/14,2227,1240
2008/08/15,2170,1255
2008/08/18,2130,1236
2008/08/19,2080,1210
2008/08/20,2090,1211
2008/08/21,2110,1192
2008/08/22,2150,1230
2008/08/25,2150,1233
2008/08/26,2170,1230
2008/08/27,2180,1210
2008/08/28,2280,1240
2008/08/29,2220,1280
2008/09/01,2220,1235
2008/09/02,2230,1211
2008/09/03,2315,1235
2008/09/04,2399,1255
2008/09/05,2410,1298
2008/09/08,2462,1305
