Date,M&R,AVENGE
2007/03/09,5450,4111
2007/03/12,5550,4221
2007/03/13,5401,4230
2007/03/14,5380,4180
2007/03/15,5475,4272
2007/03/16,5505,4500
2007/03/19,5560,4420
2007/03/20,5671,4500
2007/03/22,5810,4410
2007/03/23,5935,4500
2007/03/26,5955,4490
2007/03/27,5750,4440
2007/03/28,5500,4430
2007/03/29,5570,4500
2007/03/30,5596,4600
2007/04/02,5760,4570
2007/04/03,5831,4480
2007/04/04,5850,4489
2007/04/05,5825,4500
2007/04/10,5950,4500
2007/04/11,5900,4500
2007/04/12,5885,4498
2007/04/13,6151,4591
2007/04/16,6310,4700
2007/04/17,6300,4770
2007/04/18,6150,4750
2007/04/19,6160,4800
2007/04/20,6175,4800
2007/04/23,6085,4870
2007/04/24,6095,4860
2007/04/25,6050,4840
2007/04/26,6000,4800
2007/04/30,6085,4825
2007/05/02,6025,4775
2007/05/03,6060,4740
2007/05/04,6070,4699
2007/05/07,6250,4689
2007/05/08,6250,4650
2007/05/09,6151,4650
2007/05/10,6271,4680
2007/05/11,6451,4700
2007/05/14,6625,4706
2007/05/15,6675,4701
2007/05/16,6970,4835
2007/05/17,6853,4872
2007/05/18,6876,4920
2007/05/21,6950,5050
2007/05/22,7000,5160
2007/05/23,7222,5325
2007/05/24,7225,5348
2007/05/25,6940,5200
2007/05/28,6926,5110
2007/05/29,6906,5150
2007/05/30,6820,5015
2007/05/31,6749,4999
2007/06/01,6726,5010
2007/06/04,6604,4950
2007/06/05,6735,4945
2007/06/06,6745,5063
2007/06/07,6645,4975
2007/06/08,6451,4870
2007/06/11,6610,4953
2007/06/12,6450,4991
2007/06/13,6305,4930
2007/06/14,6500,5000
2007/06/15,6450,4835
2007/06/18,6540,4922
2007/06/19,6670,5000
2007/06/20,6595,4960
2007/06/21,6651,5010
2007/06/22,6640,4990
2007/06/25,6598,4925
2007/06/26,6400,4920
2007/06/27,6302,4880
2007/06/28,6250,4850
2007/06/29,6400,4995
2007/07/02,6601,5150
2007/07/03,6700,5170
2007/07/04,6885,5124
2007/07/05,7000,5170
2007/07/06,6975,5225
2007/07/09,7360,5500
2007/07/10,7060,5429
2007/07/11,7230,5374
2007/07/12,7500,5396
2007/07/13,7700,5550
2007/07/16,7850,5580
2007/07/17,7980,5560
2007/07/18,7901,5600
2007/07/19,7828,5665
2007/07/20,7553,5680
2007/07/23,7740,5690
2007/07/24,7525,5550
2007/07/25,7430,5490
2007/07/26,7425,5345
2007/07/27,7400,5200
2007/07/30,7510,5200
2007/07/31,7640,5372
2007/08/01,7400,5199
2007/08/02,7615,5199
2007/08/03,7500,5214
2007/08/06,7025,4995
2007/08/07,7250,5000
2007/08/08,7399,5035
2007/08/10,7000,4900
2007/08/13,6925,4870
2007/08/14,7054,4900
2007/08/15,6955,4790
2007/08/16,6715,4567
2007/08/17,6525,4575
2007/08/20,6789,4700
2007/08/21,6910,4815
2007/08/22,6935,4900
2007/08/23,6990,5075
2007/08/24,6925,5000
2007/08/27,7175,5075
2007/08/28,7345,5129
2007/08/29,7200,5055
2007/08/30,7370,5175
2007/08/31,7530,5290
2007/09/03,7901,5300
2007/09/04,8151,5350
2007/09/05,8015,5301
2007/09/06,8300,5300
2007/09/07,8350,5100
2007/09/10,8607,5011
2007/09/11,8950,5420
2007/09/12,8899,5550
2007/09/13,9101,5802
2007/09/14,8700,5700
2007/09/17,8375,5514
2007/09/18,8400,5600
2007/09/19,8490,5520
2007/09/20,8500,5470
2007/09/21,8225,5400
2007/09/25,8410,5500
2007/09/26,8490,5625
2007/09/27,8796,5600
2007/09/28,8986,5500
2007/10/01,8905,5420
2007/10/02,8800,5400
2007/10/03,9000,5490
2007/10/04,9000,5530
2007/10/05,9150,5733
2007/10/08,9256,5860
2007/10/09,9166,5901
2007/10/10,9699,6120
2007/10/11,9850,6325
2007/10/12,9680,6300
2007/10/15,9800,6200
2007/10/16,9800,6180
2007/10/17,9950,6200
2007/10/18,9950,6069
2007/10/19,10005,6140
2007/10/22,9993,6050
2007/10/23,10400,6170
2007/10/24,10250,6250
2007/10/25,10349,6499
2007/10/26,10475,6650
2007/10/29,10825,6800
2007/10/30,10400,6645
2007/10/31,9950,6410
2007/11/01,9352,6200
2007/11/02,10050,6200
2007/11/05,9525,6071
2007/11/06,9970,6280
2007/11/07,10200,6438
2007/11/08,10010,6449
2007/11/09,9900,6500
2007/11/12,9600,6520
