Date,PSG,Brait
2007/02/08,2720,3060
2007/02/09,2700,3030
2007/02/12,2706,2970
2007/02/13,2720,2900
2007/02/14,2785,2950
2007/02/15,2830,2900
2007/02/16,2850,2890
2007/02/19,2850,2885
2007/02/20,2820,2875
2007/02/21,2800,2884
2007/02/22,2815,2900
2007/02/23,2800,2885
2007/02/26,2835,2860
2007/02/27,2800,2730
2007/02/28,2770,2671
2007/03/01,2675,2700
2007/03/02,2700,2650
2007/03/05,2540,2615
2007/03/06,2600,2700
2007/03/07,2580,2650
2007/03/08,2641,2675
2007/03/09,2720,2650
2007/03/12,2859,2710
2007/03/13,2885,2720
2007/03/14,2895,2670
2007/03/15,2800,2690
2007/03/16,2720,2690
2007/03/19,2760,2690
2007/03/20,2775,2680
2007/03/22,2790,2715
2007/03/23,2800,2798
2007/03/26,2800,2800
2007/03/27,2771,2820
2007/03/28,2775,2800
2007/03/29,2775,2888
2007/03/30,2840,2920
2007/04/02,2820,2950
2007/04/03,2800,2965
2007/04/04,2730,2975
2007/04/05,2790,3006
2007/04/10,2740,3000
2007/04/11,2735,3030
2007/04/12,2720,3001
2007/04/13,2720,3000
2007/04/16,2742,3005
2007/04/17,2753,3016
2007/04/18,2760,3030
2007/04/19,2731,3090
2007/04/20,2750,3021
2007/04/23,2804,3030
2007/04/24,2820,3030
2007/04/25,2810,3060
2007/04/26,2820,3075
2007/04/30,3050,3100
2007/05/02,2950,3150
2007/05/03,2876,3250
2007/05/04,2900,3249
2007/05/07,2846,3200
2007/05/08,2830,3170
2007/05/09,2840,3100
2007/05/10,2900,3100
2007/05/11,2860,3075
2007/05/14,2831,3100
2007/05/15,2815,3076
2007/05/16,2816,3050
2007/05/17,2775,3000
2007/05/18,2860,3050
2007/05/21,2895,3065
2007/05/22,2875,3065
2007/05/23,2901,3060
2007/05/24,2940,3080
2007/05/25,2865,3050
2007/05/28,2910,3115
2007/05/29,2880,3140
2007/05/30,2925,3200
2007/05/31,2990,3220
2007/06/01,3000,3220
2007/06/04,3000,3099
2007/06/05,2980,3060
2007/06/06,2962,3150
2007/06/07,2985,3149
2007/06/08,2950,3050
2007/06/11,2906,3099
2007/06/12,2900,3100
2007/06/13,2880,3055
2007/06/14,2855,3055
2007/06/15,2950,3050
2007/06/18,2900,3070
2007/06/19,2945,3100
2007/06/20,2900,3078
2007/06/21,2920,3070
2007/06/22,2900,3050
2007/06/25,2910,3050
2007/06/26,2880,3020
2007/06/27,2870,3030
2007/06/28,2870,3000
2007/06/29,2851,3030
2007/07/02,2870,3000
2007/07/03,2870,3020
2007/07/04,2825,3020
2007/07/05,2775,3000
2007/07/06,2825,2980
2007/07/09,2826,2980
2007/07/10,2845,2995
2007/07/11,2810,2950
2007/07/12,2810,2950
2007/07/13,2840,2925
2007/07/16,2840,2920
2007/07/17,2839,2874
2007/07/18,2820,2799
2007/07/19,2830,2800
2007/07/20,2830,2820
2007/07/23,2810,2820
2007/07/24,2800,2800
2007/07/25,2750,2750
2007/07/26,2750,2675
2007/07/27,2775,2700
2007/07/30,2775,2650
2007/07/31,2785,2700
2007/08/01,2700,2675
2007/08/02,2730,2750
2007/08/03,2690,2700
2007/08/06,2600,2610
2007/08/07,2600,2630
2007/08/08,2635,2651
2007/08/10,2610,2580
2007/08/13,2608,2590
2007/08/14,2640,2570
2007/08/15,2660,2490
2007/08/16,2550,2400
2007/08/17,2575,2400
2007/08/20,2600,2390
2007/08/21,2501,2380
2007/08/22,2500,2380
2007/08/23,2530,2440
2007/08/24,2595,2411
2007/08/27,2560,2455
2007/08/28,2575,2475
2007/08/29,2570,2570
2007/08/30,2600,2625
2007/08/31,2650,2650
2007/09/03,2625,2560
2007/09/04,2600,2538
2007/09/05,2640,2490
2007/09/06,2675,2491
2007/09/07,2620,2530
2007/09/10,2650,2600
2007/09/11,2650,2589
2007/09/12,2615,2530
2007/09/13,2600,2475
2007/09/14,2613,2515
2007/09/17,2615,2520
2007/09/18,2600,2550
2007/09/19,2600,2550
2007/09/20,2620,2580
2007/09/21,2535,2525
2007/09/25,2580,2510
2007/09/26,2539,2525
2007/09/27,2550,2550
2007/09/28,2615,2575
2007/10/01,2600,2575
2007/10/02,2605,2650
2007/10/03,2644,2750
2007/10/04,2600,2700
2007/10/05,2600,2720
2007/10/08,2600,2800
2007/10/09,2600,2775
2007/10/10,2600,2850
2007/10/11,2585,2830
2007/10/12,2575,2800
2007/10/15,2540,2830
2007/10/16,2540,2830
2007/10/17,2535,2848
2007/10/18,2536,2860
2007/10/19,2520,2860
2007/10/22,2500,2749
2007/10/23,2490,2820
2007/10/24,2425,2840
2007/10/25,2490,2840
2007/10/26,2470,2950
2007/10/29,2525,2875
2007/10/30,2540,2875
2007/10/31,2500,2860
2007/11/01,2510,2850
2007/11/02,2510,2831
2007/11/05,2500,2900
2007/11/06,2500,2900
2007/11/07,2525,2900
2007/11/08,2561,2895
2007/11/09,2635,2900
2007/11/12,2598,2900
2007/11/13,2635,2900
2007/11/14,2805,2900
2007/11/15,2770,2900
2007/11/16,2765,2890
2007/11/19,2750,2900
2007/11/20,2732,2880
2007/11/21,2750,2860
2007/11/22,2749,2820
2007/11/23,2720,2800
2007/11/26,2730,2790
2007/11/27,2748,2770
2007/11/28,2750,2770
2007/11/29,2750,2771
2007/11/30,2750,2771
2007/12/03,2750,2685
2007/12/04,2800,2625
2007/12/05,2790,2700
2007/12/06,2775,2700
2007/12/07,2755,2700
2007/12/10,2750,2710
2007/12/11,2790,2700
2007/12/12,2790,2700
2007/12/13,2735,2625
2007/12/14,2600,2575
2007/12/18,2660,2595
2007/12/19,2700,2565
2007/12/20,2660,2565
2007/12/21,2650,2515
2007/12/24,2640,2515
2007/12/27,2640,2600
2007/12/28,2630,2600
2007/12/31,2650,2600
2008/01/02,2605,2620
2008/01/03,2600,2620
2008/01/04,2610,2600
2008/01/07,2599,2600
2008/01/08,2600,2600
2008/01/09,2544,2585
2008/01/10,2524,2538
2008/01/11,2475,2400
2008/01/14,2399,2400
2008/01/15,2356,2450
2008/01/16,2225,2450
2008/01/17,2250,2400
2008/01/18,2224,2325
2008/01/21,2060,2192
2008/01/22,2030,2299
2008/01/23,2070,2200
2008/01/24,2100,2200
2008/01/25,2100,2230
2008/01/28,2050,2100
2008/01/29,2060,2090
2008/01/30,2020,2025
2008/01/31,1933,1940
2008/02/01,1915,2075
2008/02/04,1950,2100
2008/02/05,1920,2139
2008/02/06,1950,2121
2008/02/07,1950,2120
2008/02/08,1950,2129
2008/02/11,1974,2100
2008/02/12,2000,2070
2008/02/13,2020,2030
2008/02/14,2070,2070
2008/02/15,2100,2080
2008/02/18,2100,2054
2008/02/19,2064,2000
2008/02/20,2023,1950
2008/02/21,1955,1951
2008/02/22,1955,1950
2008/02/25,2000,1950
2008/02/26,2075,2050
2008/02/27,2100,2170
2008/02/28,2100,2150
2008/02/29,2085,2150
2008/03/03,2085,2170
2008/03/04,2020,2160
2008/03/05,2040,2135
2008/03/06,2020,2141
2008/03/07,2058,2099
2008/03/10,1999,2078
2008/03/11,1951,2090
2008/03/12,1930,2090
2008/03/13,1975,2180
2008/03/14,2010,2180
2008/03/17,1980,2100
2008/03/18,1969,2200
